[system 2017-09-15 14:50:52]test 
[error 2017-09-16 00:42:24]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 00:49:47]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 00:49:55]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 00:50:00]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 00:50:02]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 00:50:06]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 00:56:33]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 00:56:37]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 00:56:46]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 00:56:49]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 01:00:36]socket bind error,addr(0.0.0.0:5612) 
[error 2017-09-16 08:03:25]socket bind error,addr(0.0.0.0:5612) 
